Остров Сан Андрес;San Andres Island;Остров Сан Андрес;Колумбия;12.583683;-81.710919
Абемама-Атолл;Abemama Atoll;Абемама-Атолл;Кирибати;0.490833;173.828611
;Aleneva;;США;58.03333333;-152.9
Эк-Годан;Aek Godang;Эк-Годан;Индонезия;1.400103;99.430453
;Abecher;;Чад;13.847000;20.844333
Альгесирас;Algeciras;Альгесирас;Испания;0;0
Асеки;Aseki;Асеки;Папуа - Новая Гвинея;-7.350;146.183
Альберт Ли;Albert Lea;Альберт Ли;США;43.681528;-93.367250
;Aioun El Atrouss;;Мавритания;16.711293;-9.637883
;Arpt. Jorge Newbery;Буэнос-Айрес;Аргентина;-34.559175;-58.415606
Адлер - Сочи;Adler - Sochi;Адлер;Россия;43.449928;39.956589
Вигра;Vigra;;Норвегия;62.560372;6.110164
;Allakaket;;США;66.551833;-152.622167
;Abu Musa;;Иран;25.875742;55.032994
Александрия международный;Alexandria International;;США;31.327372;-92.548556
Акурейри;Akureyri;Акурейри;Исландия;65.658610;-18.072222
Сан-Рафаэль;San Rafael;Сан-Рафаэль;Аргентина;-34.588314;-68.403854
Порт Альфред;Port Alfred;Порт Альфред;ЮАР;-33.554167;26.879722
;USAF Academy Airstrip;Колорадо Спрингз;США;38.969715;-104.812831
Амалфи;Amalfi;Амалфи;Колумбия;6.916667;-75.066667
;Kondavattavan Tank;;Шри-Ланка;40.605444;-95.867750
Алта-Флореста;Alta Floresta;Алта-Флореста;Бразилия;-9.866092;-56.106206
;Municipal;;США;42.805134;-72.003022
;Municipal;Афтон;США;42.708778;-110.942167
Афоре;Afore;Афоре;Папуа - Новая Гвинея;-9.133;148.383
Зарафшан;Zarafshan;Зарафшан;Узбекистан;41.613611;64.232777
;Afutara Aerodrome;Афутара;Соломоновы острова;-9.191111;160.949167
;Fort Worth Alliance;;США;32.987639;-97.318806
Афион;Afyon;Афион;Турция;38.726425;30.601114
;Sabzevar;;Иран;36.168083;57.595183
Агадир Альмассира;Agadir Almassira;Агадир;Марокко;30.324997;-9.413067
;Augsburg - Muehlhausen;Мюнхен;Германия;48.425158;10.931764
;Allegheny County;Питтсборо;США;40.354401;-79.930169
Ангги;Anggi;Ангги;Индонезия;-1.383;133.867
;Flugplatz;Вангерооге;Германия;53.788333;7.920556
;La Garenne;Аген;Франция;44.174714;0.590619
Ангорам;Angoram;Ангорам;Папуа - Новая Гвинея;-4.050;144.067
